esntl_no,elsm_nm,schl_nm,fdtn_sctn_dscnt,tot_po,ten_und_po,hshld_co,examin_mt,examin_dt,ave_fnds,qltwtr_poll_entrps_co,addr_1,addr_2
4570,유치원,다슬기유치원,사립,210080,5652,27428,11,1,28.18601937,1,인천광역시,연수구
4572,유치원,기암유치원,사립,396219,11608,51845,11,1,28.18601937,0,인천광역시,남동구
4573,유치원,간석유치원,사립,398889,13435,58370,11,1,28.18601937,1,인천광역시,남동구
4574,유치원,근혜유치원,사립,398889,13435,58370,11,1,28.18601937,4,인천광역시,남동구
4575,유치원,예지유치원,사립,396219,11608,51845,11,1,28.18601937,2,인천광역시,남동구
4576,유치원,청담숲유치원,사립,396219,11608,51845,11,1,28.18601937,4,인천광역시,남동구
4577,유치원,상인천유치원,사립,315435,8561,46215,11,1,28.18601937,6,인천광역시,남동구
4578,유치원,동심유치원,사립,398889,13435,58370,11,1,28.18601937,9,인천광역시,남동구
4579,유치원,성광유치원,사립,396219,11608,51845,11,1,28.18601937,4,인천광역시,남동구
4580,유치원,영보유치원,사립,315435,8561,46215,11,1,28.18601937,2,인천광역시,남동구
4582,유치원,조은유치원,사립,396219,11608,51845,11,1,28.18601937,7,인천광역시,남동구
4584,유치원,새인예유치원,사립,398889,13435,58370,11,1,28.18601937,3,인천광역시,남동구
45848,어린이집,흰돌어린이집,사립,89480,2156,12434,11,1,28.18601937,0,인천광역시,미추홀구
4586,유치원,한솔유치원,사립,315435,8561,46215,11,1,28.18601937,2,인천광역시,남동구
45860,어린이집,애플어린이집,사립,167375,5417,21369,11,1,28.18601937,0,인천광역시,연수구
45861,어린이집,하나키즈어린이집,사립,89480,2156,12434,11,1,28.18601937,1,인천광역시,연수구
45867,어린이집,미래클예능어린이집,사립,61216,1254,8056,11,1,28.18601937,0,인천광역시,연수구
45868,어린이집,새샘어린이집,사립,89480,2156,12434,11,1,28.18601937,0,인천광역시,연수구
45876,어린이집,솔잎어린이집,사립,134867,4261,16111,11,1,28.18601937,0,인천광역시,연수구
45878,어린이집,오렌지어린이집,사립,134867,4261,16111,11,1,28.18601937,1,인천광역시,연수구
45881,어린이집,숲이랑어린이집,사립,89480,2156,12434,11,1,28.18601937,0,인천광역시,연수구
45889,어린이집,새싹어린이집,사립,61216,1254,8056,11,1,28.18601937,0,인천광역시,연수구
45891,어린이집,이솝어린이집,사립,134867,4261,16111,11,1,28.18601937,0,인천광역시,연수구
45893,어린이집,청학어린이집,사립,89480,2156,12434,11,1,28.18601937,0,인천광역시,연수구
4590,유치원,해승유치원,사립,315435,8561,46215,11,1,28.18601937,6,인천광역시,남동구
